economy;economycode;female;age;educ;inc_q;emp_in;urbanicity;dig_account;borrowed;saved;fin2;anydigpayment;fin45;internet_use
Saudi Arabia;SAU;2;18;2;2;1;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;1;45;3;5;2;2;0;0;0;2;0;1;1
Saudi Arabia;SAU;2;39;3;4;1;2;1;1;0;1;1;3;1
Saudi Arabia;SAU;2;30;2;2;1;2;1;0;1;1;1;1;1
Saudi Arabia;SAU;2;26;2;5;1;2;1;0;0;1;1;3;1
Saudi Arabia;SAU;1;32;1;3;2;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;1;36;2;1;2;2;1;1;1;1;1;7;1
Saudi Arabia;SAU;2;56;3;2;1;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;2;18;2;5;1;2;1;1;1;1;1;7;1
Saudi Arabia;SAU;1;18;2;5;1;2;1;1;1;1;1;5;1
Saudi Arabia;SAU;1;35;3;4;1;1;1;0;1;1;1;3;1
Saudi Arabia;SAU;2;50;2;2;1;2;0;0;0;2;0;7;1
Saudi Arabia;SAU;2;56;3;1;1;1;1;1;1;1;1;5;1
Saudi Arabia;SAU;2;43;3;4;1;2;1;0;1;1;1;7;1
Saudi Arabia;SAU;2;25;2;1;1;1;0;0;0;2;0;5;1
Saudi Arabia;SAU;2;18;2;5;1;2;0;0;0;2;0;1;1
Saudi Arabia;SAU;1;26;3;3;1;2;1;0;1;1;1;4;1
Saudi Arabia;SAU;1;22;2;5;2;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;1;19;2;4;2;1;0;0;0;2;0;3;1
Saudi Arabia;SAU;2;29;2;3;1;2;1;0;1;1;1;3;1
Saudi Arabia;SAU;2;30;3;3;1;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;1;37;3;5;2;2;0;0;1;2;0;4;1
Saudi Arabia;SAU;2;32;3;1;1;2;0;0;1;2;0;6;1
Saudi Arabia;SAU;2;31;3;5;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;25;2;1;1;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;2;26;2;1;2;2;1;1;1;1;1;1;1
Saudi Arabia;SAU;2;46;2;1;1;2;0;0;0;2;0;1;1
Saudi Arabia;SAU;1;19;2;4;1;2;1;0;0;1;1;3;1
Saudi Arabia;SAU;2;17;2;5;2;2;1;1;1;2;1;5;1
Saudi Arabia;SAU;2;23;3;5;1;2;1;0;0;1;1;4;1
Saudi Arabia;SAU;1;27;3;5;1;1;1;1;0;1;1;4;1
Saudi Arabia;SAU;2;26;3;3;1;2;1;0;0;1;1;6;1
Saudi Arabia;SAU;1;27;2;3;2;2;0;1;0;2;0;4;1
Saudi Arabia;SAU;1;38;2;1;2;2;0;1;0;2;0;4;1
Saudi Arabia;SAU;1;16;2;4;2;2;1;1;0;1;1;2;1
Saudi Arabia;SAU;2;24;2;4;1;2;1;0;0;1;1;3;1
Saudi Arabia;SAU;2;31;3;3;1;2;1;1;1;1;1;6;1
Saudi Arabia;SAU;2;33;2;5;1;2;1;0;1;1;1;1;1
Saudi Arabia;SAU;1;39;2;3;1;2;0;0;1;1;0;1;1
Saudi Arabia;SAU;1;30;3;5;1;2;1;1;1;1;1;5;1
Saudi Arabia;SAU;2;40;3;5;1;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;2;20;2;4;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;40;3;5;1;2;0;0;1;2;0;4;1
Saudi Arabia;SAU;2;26;3;5;1;2;1;1;1;1;1;2;1
Saudi Arabia;SAU;2;54;2;2;1;1;1;0;1;1;1;3;1
Saudi Arabia;SAU;2;17;2;5;1;1;0;0;0;2;0;1;1
Saudi Arabia;SAU;2;22;2;1;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;40;3;3;1;2;1;0;0;1;1;1;1
Saudi Arabia;SAU;1;19;3;1;2;2;1;1;1;1;1;7;1
Saudi Arabia;SAU;2;33;2;3;1;2;1;1;0;1;1;3;1
Saudi Arabia;SAU;1;23;2;5;2;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;1;22;3;5;1;2;0;0;1;2;0;1;1
Saudi Arabia;SAU;2;55;3;5;1;2;1;1;1;1;1;1;1
Saudi Arabia;SAU;1;25;2;2;1;2;0;1;1;2;0;6;1
Saudi Arabia;SAU;1;51;1;1;1;2;1;1;0;1;1;5;1
Saudi Arabia;SAU;2;35;2;5;2;2;0;0;0;2;0;3;1
Saudi Arabia;SAU;2;36;2;4;1;2;1;1;0;1;1;4;1
Saudi Arabia;SAU;2;30;2;3;1;2;1;1;1;1;1;3;1
Saudi Arabia;SAU;2;21;2;2;2;2;1;1;0;1;1;4;1
Saudi Arabia;SAU;1;32;2;2;2;2;0;0;0;2;0;4;1
Saudi Arabia;SAU;2;19;2;5;1;2;1;0;0;1;1;1;1
Saudi Arabia;SAU;2;34;2;3;1;2;0;0;0;2;0;5;1
Saudi Arabia;SAU;1;36;2;1;1;2;1;0;0;1;1;7;1
